Project Title,Base Link,Publication Title,Authors,Published In,DOI,Link
"MIcro- and NAno-Plastics in AGRIricultural Soils: sources, environmental fate and impacts on ecosystem services and overall sustainability",https://cordis.europa.eu/project/id/101000407,"Microplastic appraisal of soil, water, ditch sediment and airborne dust: The case of Agricultural system",,,,https://doi.org/10.1016/j.envpol.2022.120513
"MIcro- and NAno-Plastics in AGRIricultural Soils: sources, environmental fate and impacts on ecosystem services and overall sustainability",https://cordis.europa.eu/project/id/101000407,Intensive vegetable production under plastic mulch: A field study on soil plastic and pesticide residues and their effects on the soil microbiome,,,,https://doi.org/10.1016/j.scitotenv.2023.165179
"MIcro- and NAno-Plastics in AGRIricultural Soils: sources, environmental fate and impacts on ecosystem services and overall sustainability",https://cordis.europa.eu/project/id/101000407,The time for ambitious action is now: Science-based recommendations for plastic chemicals to inform an effective global plastic treaty,,,,https://doi.org/10.1016/j.scitotenv.2024.174881
"MIcro- and NAno-Plastics in AGRIricultural Soils: sources, environmental fate and impacts on ecosystem services and overall sustainability",https://cordis.europa.eu/project/id/101000407,Microplastics exert minor influence on bacterial community succession during the aging of earthworm (Lumbricus terrestris) casts,,,,https://doi.org/10.1016/j.soilbio.2024.109480
"MIcro- and NAno-Plastics in AGRIricultural Soils: sources, environmental fate and impacts on ecosystem services and overall sustainability",https://cordis.europa.eu/project/id/101000407,Micro- and nanoplastics in soils: Tracing research progression from comprehensive analysis to ecotoxicological effects,,,,https://doi.org/10.1016/j.ecolind.2023.111109
"MIcro- and NAno-Plastics in AGRIricultural Soils: sources, environmental fate and impacts on ecosystem services and overall sustainability",https://cordis.europa.eu/project/id/101000407,Micro- and nanoplastics in soil: Linking sources to damage on soil ecosystem services in life cycle assessment,,,,https://doi.org/10.1016/j.scitotenv.2023.166925
Impact of Nanoplastics Pollution on aquatic and atmospheric Environments,https://cordis.europa.eu/project/id/948666,Assessing the photodegradation potential of compounds derived from the photoinduced weathering of polystyrene in water,,,,https://doi.org/10.1016/j.scitotenv.2023.162729
Impact of Nanoplastics Pollution on aquatic and atmospheric Environments,https://cordis.europa.eu/project/id/948666,Rapid detection of nanoplastics and small microplastics by Nile-Red staining and flow cytometry,,,,https://doi.org/10.1007/s10311-022-01545-3
understanding PLAstic pollutioN effects on the biogeochemical cycle of ElemenTs,https://cordis.europa.eu/project/id/101023603,Assessing sources and fractions of metals associated with environmental plastics: a case study in Lake Como (Italy),,,,https://doi.org/10.1039/d3va00254c
understanding PLAstic pollutioN effects on the biogeochemical cycle of ElemenTs,https://cordis.europa.eu/project/id/101023603,Untangling the role of biotic and abiotic ageing of various environmental plastics toward the sorption of metals,,,,https://doi.org/10.1016/j.scitotenv.2023.164807
understanding PLAstic pollutioN effects on the biogeochemical cycle of ElemenTs,https://cordis.europa.eu/project/id/101023603,Selection of the optimal extraction protocol to investigate the interaction between trace elements and environmental plastic,,,,https://doi.org/10.1016/j.jhazmat.2023.131330
understanding PLAstic pollutioN effects on the biogeochemical cycle of ElemenTs,https://cordis.europa.eu/project/id/101023603,Physicochemical and biological ageing processes of (micro)plastics in the environment: a multi-tiered study on polyethylene,,,,https://doi.org/10.1007/s11356-022-22599-4
Assessment of human Dermal exposure to microPlastics additive chemicals and the risk arising from such exposure using innovative 3D-human skin equivalents,https://cordis.europa.eu/project/id/101026229,Novel Insights into the Dermal Bioaccessibility and Human Exposure to Brominated Flame Retardant Additives in Microplastics,,,,https://doi.org/10.1021/acs.est.3c01894
Bio Innovation of a Circular Economy for Plastics,https://cordis.europa.eu/project/id/870292,Degradation of petroleum-based plastics by microbes and microbial consortia,,,,https://doi.org/10.13345/j.cjb.210399
Bio Innovation of a Circular Economy for Plastics,https://cordis.europa.eu/project/id/870292,Assessing the Time Dependence of AOPs on the Surface Properties of Polylactic Acid,,,,https://doi.org/10.1007/s10924-022-02608-w
Bio Innovation of a Circular Economy for Plastics,https://cordis.europa.eu/project/id/870292,Antimicrobial Active Bioplastics Using Triangular Silver Nanoplate Integrated Polycaprolactone and Polylactic Acid Films,,,,https://doi.org/10.3390/ma14051132
Bio Innovation of a Circular Economy for Plastics,https://cordis.europa.eu/project/id/870292,"Mixta tenebrionis sp. nov., isolated from the gut of the plastic-eating mealworm Tenebrio molitor L.",,,,https://doi.org/10.1099/ijsem.0.003826
Bio Innovation of a Circular Economy for Plastics,https://cordis.europa.eu/project/id/870292,Biodegradation of polyurethane by the microbial consortia enriched from landfill,,,,https://doi.org/10.1007/s00253-023-12418-2
Bio Innovation of a Circular Economy for Plastics,https://cordis.europa.eu/project/id/870292,A Circular Bioprocess for the Sustainable Conversion of Polyethylene Terephthalate to Muconic Acid with an Engineered Pseudomonas Putida,,,,https://doi.org/10.5281/zenodo.6569441
Bio Innovation of a Circular Economy for Plastics,https://cordis.europa.eu/project/id/870292,De Novo Biosynthesis of Chlorogenic Acid Using an Artificial Microbial Community,,,,https://doi.org/10.1021/acs.jafc.0c07588
Bio Innovation of a Circular Economy for Plastics,https://cordis.europa.eu/project/id/870292,Development of a highly efficient and specific L-theanine synthase,,,,https://doi.org/10.1007/s00253-020-10482-6
Bio Innovation of a Circular Economy for Plastics,https://cordis.europa.eu/project/id/870292,Screening and genome analysis of a Pseudomonas stutzeri that degrades PET monomer terephthalate,,,,https://doi.org/10.13343/j.cnki.wsxb.20210178
Bio Innovation of a Circular Economy for Plastics,https://cordis.europa.eu/project/id/870292,Preface to the special issue: biotechnology of plastic waste degradation and valorization,,,,https://doi.org/10.13345/j.cjb.230299
Bio Innovation of a Circular Economy for Plastics,https://cordis.europa.eu/project/id/870292,Developing a highly efficient hydroxytyrosol whole-cell catalyst by de-bottlenecking rate-limiting steps,,,,https://doi.org/10.1038/s41467-020-14918-5
Bio Innovation of a Circular Economy for Plastics,https://cordis.europa.eu/project/id/870292,A novel Bacillus subtilis BPM12 with high bis(2 hydroxyethyl)terephthalate hydrolytic activity efficiently interacts with virgin and mechanically recycled polyethylene terephthalate,,,,https://doi.org/10.1016/j.eti.2023.103316
Bio Innovation of a Circular Economy for Plastics,https://cordis.europa.eu/project/id/870292,Mimicking the enzymatic plant cell wall hydrolysis mechanism for the degradation of polyethylene terephthalate,,,,https://doi.org/10.1016/j.envpol.2024.124347
Bio Innovation of a Circular Economy for Plastics,https://cordis.europa.eu/project/id/870292,"Tenebrionibacter intestinalis gen. nov., sp. nov., a member of a novel genus of the family Enterobacteriaceae, isolated from the gut of the plastic-eating mealworm Tenebrio molitor L",,,,https://doi.org/10.1099/ijsem.0.005246
Bio Innovation of a Circular Economy for Plastics,https://cordis.europa.eu/project/id/870292,Advances in biodegradation of polyolefin plastics,,,,https://doi.org/10.13345/j.cjb.221024
Bio Innovation of a Circular Economy for Plastics,https://cordis.europa.eu/project/id/870292,Biological and physiochemical studies of electrospun polylactid/polyhydroxyoctanoate PLA/P(3HO) scaffolds for tissue engineering applications,,,,https://doi.org/10.1039/d3ra03021k
Bio Innovation of a Circular Economy for Plastics,https://cordis.europa.eu/project/id/870292,"Multiple recycling of a PLA/PHB biopolymer blend for sustainable packaging applications: Rheology-morphology, thermal, and mechanical performance analysis",,,,https://doi.org/10.1002/pen.25962
Bio Innovation of a Circular Economy for Plastics,https://cordis.europa.eu/project/id/870292,Macro and Micro Routes to High Performance Bioplastics: Bioplastic Biodegradability and Mechanical and Barrier Properties,,,,https://doi.org/10.3390/polym13132155
Bio Innovation of a Circular Economy for Plastics,https://cordis.europa.eu/project/id/870292,Rendering Bio-Inert Low Density Polyethylene Amenable For Biodegradation Via Fast High Throughput Reactive Extrusion Assisted Oxidation,,,,https://doi.org/10.21203/rs.3.rs-1016043/v1
Bio Innovation of a Circular Economy for Plastics,https://cordis.europa.eu/project/id/870292,Computational Redesign of a PETase for Plastic Biodegradation under Ambient Condition by the GRAPE Strategy,,,,https://doi.org/10.1021/acscatal.0c05126
Bio Innovation of a Circular Economy for Plastics,https://cordis.europa.eu/project/id/870292,Polyhydroxyalkanoate/Antifungal Polyene Formulations with Monomeric Hydroxyalkanoic Acids for Improved Antifungal Efficiency,,,,https://doi.org/10.3390/antibiotics10060737
Bio Innovation of a Circular Economy for Plastics,https://cordis.europa.eu/project/id/870292,"Cellulosimicrobium composti sp. nov., a thermophilic bacterium isolated from compost",,,,https://doi.org/10.1099/ijsem.0.004905
Bio Innovation of a Circular Economy for Plastics,https://cordis.europa.eu/project/id/870292,Bioconversion of terephthalic acid and ethylene glycol into bacterial cellulose by Komagataeibacter xylinus DSM 2004 and DSM 46604,,,,https://doi.org/10.3389/fbioe.2022.853322
Bio Innovation of a Circular Economy for Plastics,https://cordis.europa.eu/project/id/870292,Editorial: Bio-Technological Processes and Enzymes for the Conversion and Valorization of Plastic Wastes,,,,https://doi.org/10.3389/fbioe.2022.873068
Bio Innovation of a Circular Economy for Plastics,https://cordis.europa.eu/project/id/870292,Biotechnological model for ubiquitous mixed petroleum- and bio-based plastics degradation and upcycling into bacterial nanocellulose,,,,https://doi.org/10.1016/j.jclepro.2024.141025
Bio Innovation of a Circular Economy for Plastics,https://cordis.europa.eu/project/id/870292,New Labeled PET Analogues Enable the Functional Screening and Characterization of PET-Degrading Enzymes,,,,https://doi.org/10.1021/acssuschemeng.4c00143
Bio Innovation of a Circular Economy for Plastics,https://cordis.europa.eu/project/id/870292,Polyurethane-Degrading Potential of Alkaline Groundwater Bacteria,,,,https://doi.org/10.1007/s00248-023-02338-z
Bio Innovation of a Circular Economy for Plastics,https://cordis.europa.eu/project/id/870292,Valorization of Polyethylene Terephthalate to Muconic Acid by Engineering Pseudomonas Putida,,,,https://doi.org/10.3390/ijms231910997
Bio Innovation of a Circular Economy for Plastics,https://cordis.europa.eu/project/id/870292,Enhanced Antimicrobial Activity of Biocompatible Bacterial Cellulose Films via Dual Synergistic Action of Curcumin and Triangular Silver Nanoplates,,,,https://doi.org/10.3390/ijms232012198
Bio Innovation of a Circular Economy for Plastics,https://cordis.europa.eu/project/id/870292,Composite Films of Thermoplastic Starch and CaCl2 Extracted from Eggshells for Extending Food Shelf-Life,,,,https://doi.org/10.3390/polysaccharides2030041
Bio Innovation of a Circular Economy for Plastics,https://cordis.europa.eu/project/id/870292,"Fast, High Monomer Yield from Post-consumer Polyethylene Terephthalate via Combined Microwave and Deep Eutectic Solvent Hydrolytic Depolymerization",,,,https://doi.org/10.1021/acssuschemeng.1c07159
Bio Innovation of a Circular Economy for Plastics,https://cordis.europa.eu/project/id/870292,Progressing Plastics Circularity: A Review of Mechano-Biocatalytic Approaches for Waste Plastic (Re)valorization,,,,https://doi.org/10.3389/fbioe.2021.696040
Bio Innovation of a Circular Economy for Plastics,https://cordis.europa.eu/project/id/870292,Construction of cascade circuits for dynamic temporal regulation and its application to PHB production,,,,https://doi.org/10.1186/s13068-023-02416-x
Bio Innovation of a Circular Economy for Plastics,https://cordis.europa.eu/project/id/870292,Boosting bacterial nanocellulose production from chemically recycled post-consumer polyethylene terephthalate,,,,https://doi.org/10.1016/j.susmat.2023.e00784
Bio Innovation of a Circular Economy for Plastics,https://cordis.europa.eu/project/id/870292,Exploring the substrate spectrum of phylogenetically distinct bacterial polyesterases,,,,https://doi.org/10.1002/biot.202400053
Bio Innovation of a Circular Economy for Plastics,https://cordis.europa.eu/project/id/870292,Upcycling Biodegradable PVA/Starch Film to a Bacterial Biopigment and Biopolymer,,,,https://doi.org/10.3390/polym13213692
Bio Innovation of a Circular Economy for Plastics,https://cordis.europa.eu/project/id/870292,Engineering an SspB-mediated degron for novel controllable protein degradation,,,,https://doi.org/10.1016/j.ymben.2022.10.013
Bio Innovation of a Circular Economy for Plastics,https://cordis.europa.eu/project/id/870292,"Investigation of Abortiporus biennis lignocellulolytic toolbox, and the role of laccases in polystyrene degradation",,,,https://doi.org/10.1016/j.chemosphere.2022.137338
Bio Innovation of a Circular Economy for Plastics,https://cordis.europa.eu/project/id/870292,Brackish Groundwaters Contain Plastic- and Cellulose-Degrading Bacteria,,,,https://doi.org/10.1007/s00248-023-02278-8
Bio Innovation of a Circular Economy for Plastics,https://cordis.europa.eu/project/id/870292,Nitrogen Fixation and Diazotrophic Community in Plastic-Eating Mealworms Tenebrio molitor L,,,,https://doi.org/10.1007/s00248-021-01930-5
Bio Innovation of a Circular Economy for Plastics,https://cordis.europa.eu/project/id/870292,Triangular Silver Nanoparticles Synthesis: Investigating Potential Application in Materials and Biosensing,,,,https://doi.org/10.3390/app13148100
Bio Innovation of a Circular Economy for Plastics,https://cordis.europa.eu/project/id/870292,"Intestinirhabdus alba gen. nov., sp. nov., a novel genus of the family Enterobacteriaceae, isolated from the gut of plastic-eating larvae of the Coleoptera insect Zophobas atratus",,,,https://doi.org/10.1099/ijsem.0.004364
Bio Innovation of a Circular Economy for Plastics,https://cordis.europa.eu/project/id/870292,Understanding bioplastic materials - current state and trends,,,,https://doi.org/10.2298/jsc200720051j
Bio Innovation of a Circular Economy for Plastics,https://cordis.europa.eu/project/id/870292,"Study of PLA pre-treatment, enzymatic and model-compost degradation, and valorization of degradation products to bacterial nanocellulose",,,,https://doi.org/10.1007/s11274-023-03605-4
Bio Innovation of a Circular Economy for Plastics,https://cordis.europa.eu/project/id/870292,"Ultrafast, Optimized Hydrolytic Depolymerization of Polyethylene Terephthalate Using a Dissolution/Degradation Approach",,,,https://doi.org/10.3390/eccs2021-11111
Bio Innovation of a Circular Economy for Plastics,https://cordis.europa.eu/project/id/870292,Development of Optogenetic Dual-Switch System for Rewiring Metabolic Flux for Polyhydroxybutyrate Production,,,,https://doi.org/10.3390/molecules27030617
Bio Innovation of a Circular Economy for Plastics,https://cordis.europa.eu/project/id/870292,Color Stability Enhancement of Curcumin Bioplastic Films using Natural Hybrid Fillers of Montmorillonite and Revalorized Cellulose,,,,https://doi.org/10.1021/acssuschemeng.3c01466
Bio Innovation of a Circular Economy for Plastics,https://cordis.europa.eu/project/id/870292,"Development of nystatin-based antifungal, biodegradable polymer composite materials for food packaging via. melt processing approach",,,,https://doi.org/10.1002/app.54663
Bio Innovation of a Circular Economy for Plastics,https://cordis.europa.eu/project/id/870292,"Acinetobacter entericus sp. nov., isolated from the gut of plastic-eating insect larvae Zophobas atratus",,,,https://doi.org/10.1099/ijsem.0.006006
Bio Innovation of a Circular Economy for Plastics,https://cordis.europa.eu/project/id/870292,All Green Microwave Assisted 99% Depolymerisation of Polyethylene Terephthalate into Value Added Products via Glycerol Pre-treatment and Hydrolysis Reaction,,,,https://doi.org/10.1007/s10924-023-02979-8
Bio Innovation of a Circular Economy for Plastics,https://cordis.europa.eu/project/id/870292,Triggering and identifying the polyurethane and polyethylene-degrading machinery of filamentous fungi secretomes,,,,https://doi.org/10.5281/zenodo.7767083
Bio Innovation of a Circular Economy for Plastics,https://cordis.europa.eu/project/id/870292,Proteomic examination of polyester-polyurethane degradation by Streptomyces sp. PU10: Diverting polyurethane intermediates to secondary metabolite production,,,,https://doi.org/10.1111/1751-7915.14445
Bio Innovation of a Circular Economy for Plastics,https://cordis.europa.eu/project/id/870292,Biodegradation and mineralization of polystyrene by plastic-eating superworms Zophobas atratus,,,,https://doi.org/10.1016/j.scitotenv.2019.135233
Bio Innovation of a Circular Economy for Plastics,https://cordis.europa.eu/project/id/870292,A Review on Biological Synthesis of the Biodegradable Polymers Polyhydroxyalkanoates and the Development of Multiple Applications,,,,https://doi.org/10.3390/catal12030319
Bio Innovation of a Circular Economy for Plastics,https://cordis.europa.eu/project/id/870292,Discovery of a polyesterase from Deinococcus maricopensis and comparison to the benchmark LCCICCG suggests high potential for semi- crystalline post-consumer PET degradation,,,,https://doi.org/10.1016/j.jhazmat.2023.131574
Bio Innovation of a Circular Economy for Plastics,https://cordis.europa.eu/project/id/870292,Metabolic engineering for improved curcumin biosynthesis in Escherichia coli,,,,https://doi.org/10.1021/acs.jafc.0c04276
Bio Innovation of a Circular Economy for Plastics,https://cordis.europa.eu/project/id/870292,Novel cinnamic acid-based PET derivatives as quorum sensing modulators,,,,https://doi.org/10.1016/j.molstruc.2023.137291
Bio Innovation of a Circular Economy for Plastics,https://cordis.europa.eu/project/id/870292,Novel Transaminase and Laccase from Streptomyces spp. Using Combined Identification Approaches,,,,https://doi.org/10.3390/catal11080919
Bio Innovation of a Circular Economy for Plastics,https://cordis.europa.eu/project/id/870292,End-of-Life of Composite Materials in the Framework of the Circular Economy,,,,https://doi.org/10.3390/microplastics1030028
Bio Innovation of a Circular Economy for Plastics,https://cordis.europa.eu/project/id/870292,Microbial Degradation and Valorization of Plastic Wastes,,,,https://doi.org/10.3389/fmicb.2020.00442
Bio Innovation of a Circular Economy for Plastics,https://cordis.europa.eu/project/id/870292,Microbial degradation of polyethylene (chinese),,,,https://doi.org/10.13344/j.microbiol.china.200484
Bio Innovation of a Circular Economy for Plastics,https://cordis.europa.eu/project/id/870292,Characterization of the Thermostable Biosurfactant Produced by Burkholderia thailandensis DSM 13276,,,,https://doi.org/10.3390/polym14102088
Bio Innovation of a Circular Economy for Plastics,https://cordis.europa.eu/project/id/870292,Bacillus and Streptomyces spp. as hosts for production of industrially relevant enzymes,,,,https://doi.org/10.1007/s00253-023-12900-x
Bio Innovation of a Circular Economy for Plastics,https://cordis.europa.eu/project/id/870292,"Progressing Ultragreen, Energy-Efficient Biobased Depolymerization of Poly(ethylene terephthalate) via Microwave-Assisted Green Deep Eutectic Solvent and Enzymatic Treatment",,,,https://doi.org/10.3390/polym14010109
Bio Innovation of a Circular Economy for Plastics,https://cordis.europa.eu/project/id/870292,"Myroides albus sp. nov., isolated from the gut of plastic-eating larvae of the coleopteran insect Zophobas atratus",,,,https://doi.org/10.1099/ijsem.0.004429
Bio Innovation of a Circular Economy for Plastics,https://cordis.europa.eu/project/id/870292,Triangular Silver Nanoplates as a Bioanalytical Tool: Potential COVID-19 Detection,,,,https://doi.org/10.3390/ijms241511974
Bio Innovation of a Circular Economy for Plastics,https://cordis.europa.eu/project/id/870292,Upcycling of PET oligomers from chemical recycling processes to PHA by microbial co-cultivation,,,,https://doi.org/10.1016/j.wasman.2023.08.048
Bio Innovation of a Circular Economy for Plastics,https://cordis.europa.eu/project/id/870292,Unique Raoultella species isolated from petroleum contaminated soil degrades polystyrene and polyethylene,,,,https://doi.org/10.1016/j.ecoenv.2023.115232
Bio Innovation of a Circular Economy for Plastics,https://cordis.europa.eu/project/id/870292,"Key Points of Advanced Oxidation Processes (AOPs) for Wastewater, Organic Pollutants and Pharmaceutical Waste Treatment: A Mini Review",,,,https://doi.org/10.3390/chemengineering6010008
Bio Innovation of a Circular Economy for Plastics,https://cordis.europa.eu/project/id/870292,Bacterial nanocellulose as green support of platinum nanoparticles for effective methanol oxidation,,,,https://doi.org/10.1016/j.ijbiomac.2022.10.278
Bio Innovation of a Circular Economy for Plastics,https://cordis.europa.eu/project/id/870292,Study on the influence of advanced treatment processes on the surface properties of polylactic acid for a bio-based circular economy for plastics,,,,https://doi.org/10.1016/j.ultsonch.2021.105627
Bio Innovation of a Circular Economy for Plastics,https://cordis.europa.eu/project/id/870292,Triggering and identifying the polyurethane and polyethylene-degrading machinery of filamentous fungi secretomes,,,,https://doi.org/10.1016/j.envpol.2023.121460
Bio Innovation of a Circular Economy for Plastics,https://cordis.europa.eu/project/id/870292,Characterization of bacterial cellulose produced by Komagataeibacter xylinus strains grown in styrene/ glucose mixtures,,,,https://doi.org/10.1007/s10570-023-05559-0
Bio Innovation of a Circular Economy for Plastics,https://cordis.europa.eu/project/id/870292,Synthesis and characterization of polyethylene terephthalate (PET) precursors and potential degradation products: Toxicity study and application in discovery of novel PETases,,,,https://doi.org/10.5281/zenodo.4592133
Bio Innovation of a Circular Economy for Plastics,https://cordis.europa.eu/project/id/870292,Exploring Microorganisms from Plastic-Polluted Sites: Unveiling Plastic Degradation and PHA Production Potential,,,,https://doi.org/10.3390/microorganisms11122914
Bio Innovation of a Circular Economy for Plastics,https://cordis.europa.eu/project/id/870292,Targeting Bacterial Nanocellulose Properties through Tailored Downstream Techniques,,,,https://doi.org/10.3390/polym16050678
Bio Innovation of a Circular Economy for Plastics,https://cordis.europa.eu/project/id/870292,"""Designing glucose utilization """"highway"""" for recombinant biosynthesis""",,,,https://doi.org/10.1016/j.ymben.2023.06.016
Bio Innovation of a Circular Economy for Plastics,https://cordis.europa.eu/project/id/870292,A polyesterase from the Antarctic bacterium Moraxella sp. degrades highly crystalline synthetic polymers,,,,https://doi.org/10.1016/j.jhazmat.2022.128900
Bio Innovation of a Circular Economy for Plastics,https://cordis.europa.eu/project/id/870292,Synthesis and characterization of polyethylene terephthalate (PET) precursors and potential degradation products:Toxicity study and application in discovery of novel PETases,,,,https://doi.org/10.1016/j.chemosphere.2021.130005
Bio Innovation of a Circular Economy for Plastics,https://cordis.europa.eu/project/id/870292,Production of Polyhydroxybutyrate (PHB) and Factors Impacting Its Chemical and Mechanical Characteristics,,,,https://doi.org/10.3390/polym12122908
Bio Innovation of a Circular Economy for Plastics,https://cordis.europa.eu/project/id/870292,Potential one-step strategy for PET degradation and PHB biosynthesis through co-cultivation of two engineered microorganisms,,,,https://doi.org/10.1016/j.engmic.2021.100003
Bio Innovation of a Circular Economy for Plastics,https://cordis.europa.eu/project/id/870292,Biodegradation of vulcanized rubber by a gut bacterium from plastic-eating mealworms,,,,https://doi.org/10.1016/j.jhazmat.2023.130940
Bio Innovation of a Circular Economy for Plastics,https://cordis.europa.eu/project/id/870292,Ultrafast 99% Polyethylene terephthalate depolymerization into value added monomers using sequential glycolysis-hydrolysis under microwave irradiation,,,,https://doi.org/10.1016/j.arabjc.2022.103903
Bio Innovation of a Circular Economy for Plastics,https://cordis.europa.eu/project/id/870292,Whole-Cell Biosensors Aid Exploration of Vanillin Transmembrane Transport,,,,https://doi.org/10.1021/acs.jafc.0c07886
Bio Innovation of a Circular Economy for Plastics,https://cordis.europa.eu/project/id/870292,A circular bioprocess for the sustainable conversion ofpolyethylene terephthalate to muconic acid with anengineered Pseudomonas putida,,,,https://doi.org/10.2139/ssrn.4110033
MIXed plastics biodegradation and UPcycling using microbial communities,https://cordis.europa.eu/project/id/870294,Synthetic Biology and Genome-Editing Tools for Improving PHA Metabolic Engineering,,,,https://doi.org/10.1016/j.tibtech.2019.10.006
MIXed plastics biodegradation and UPcycling using microbial communities,https://cordis.europa.eu/project/id/870294,Biodegradation of polyester polyurethane by Cladosporium sp. P7: Evaluating its degradation capacity and metabolic pathways,,,,https://doi.org/10.1016/j.jhazmat.2023.130776
MIXed plastics biodegradation and UPcycling using microbial communities,https://cordis.europa.eu/project/id/870294,Enzymatic degradation of polyethylene terephthalate nanoplastics analyzed in real time by isothermal titration calorimetry,,,,https://doi.org/10.1016/j.scitotenv.2021.145111
MIXed plastics biodegradation and UPcycling using microbial communities,https://cordis.europa.eu/project/id/870294,Anti-staphylococcal hydrogels based on bacterial cellulose and the antimicrobial biopolyester poly(3-hydroxy-acetylthioalkanoate-co-3-hydroxyalkanoate),,,,https://doi.org/10.1016/j.ijbiomac.2020.07.289
MIXed plastics biodegradation and UPcycling using microbial communities,https://cordis.europa.eu/project/id/870294,Pseudomonas putida as a synthetic biology chassis and a metabolic engineering platform,,,,https://doi.org/10.1016/j.copbio.2023.103025
MIXed plastics biodegradation and UPcycling using microbial communities,https://cordis.europa.eu/project/id/870294,Assessment of Four Engineered PET Degrading Enzymes Considering Large-Scale Industrial Applications,,,,https://doi.org/10.1021/acscatal.3c02922
MIXed plastics biodegradation and UPcycling using microbial communities,https://cordis.europa.eu/project/id/870294,Water potential governs the effector specificity of the transcriptional regulator XylR of Pseudomonas putida,,,,https://doi.org/10.1111/1462-2920.16342
MIXed plastics biodegradation and UPcycling using microbial communities,https://cordis.europa.eu/project/id/870294,Chemical and biological catalysis for plastics recycling and upcycling,,,,https://doi.org/10.1038/s41929-021-00648-4
MIXed plastics biodegradation and UPcycling using microbial communities,https://cordis.europa.eu/project/id/870294,MIXed plastics biodegradation and UPcycling using microbial communities: EU Horizon 2020 project MIX-UP started January 2020,,,,https://doi.org/10.1186/s12302-021-00536-5
MIXed plastics biodegradation and UPcycling using microbial communities,https://cordis.europa.eu/project/id/870294,High-Efficiency Multi-site Genomic Editing of Pseudomonas putida through Thermoinducible ssDNA Recombineering,,,,https://doi.org/10.1016/j.isci.2020.100946
MIXed plastics biodegradation and UPcycling using microbial communities,https://cordis.europa.eu/project/id/870294,Structural Insights into (Tere)phthalate-Ester Hydrolysis by a Carboxylesterase and Its Role in Promoting PET Depolymerization,,,,https://doi.org/10.1021/acscatal.2c03772
MIXed plastics biodegradation and UPcycling using microbial communities,https://cordis.europa.eu/project/id/870294,Biosynthesis of functional polyhydroxyalkanoates by engineered Halomonas bluephagenesis,,,,https://doi.org/10.1016/j.ymben.2020.02.005
MIXed plastics biodegradation and UPcycling using microbial communities,https://cordis.europa.eu/project/id/870294,Polyhydroxyalkanoates (PHA) toward cost competitiveness and functionality,,,,https://doi.org/10.1016/j.aiepr.2019.11.001
MIXed plastics biodegradation and UPcycling using microbial communities,https://cordis.europa.eu/project/id/870294,A pseudo-homogeneous system for PET glycolysis using a colloidal catalyst of graphite carbon nitride in ethylene glycol,,,,https://doi.org/10.1016/j.polymdegradstab.2021.109638
MIXed plastics biodegradation and UPcycling using microbial communities,https://cordis.europa.eu/project/id/870294,"Molecular and Biochemical Differences of the Tandem and Cold-Adapted PET Hydrolases Ple628 and Ple629, Isolated From a Marine Microbial Consortium",,,,https://doi.org/10.3389/fbioe.2022.930140
MIXed plastics biodegradation and UPcycling using microbial communities,https://cordis.europa.eu/project/id/870294,Production of PHA copolymers consisting of 3-hydroxybutyrate and 3-hydroxyhexanoate (PHBHHx) by recombinant Halomonas bluephagenesis,,,,https://doi.org/10.1016/j.cej.2023.143261
MIXed plastics biodegradation and UPcycling using microbial communities,https://cordis.europa.eu/project/id/870294,Enzymes for microplastic-free agricultural soils,,,,https://doi.org/10.1016/j.ecoenv.2023.114982
MIXed plastics biodegradation and UPcycling using microbial communities,https://cordis.europa.eu/project/id/870294,Engineering Halomonas bluephagenesis for L-Threonine production,,,,https://doi.org/10.1016/j.ymben.2020.04.004
MIXed plastics biodegradation and UPcycling using microbial communities,https://cordis.europa.eu/project/id/870294,Hints from nature for a PHA circular economy: Carbon synthesis and sharing by Pseudomonas solani GK13,,,,https://doi.org/10.1016/j.nbt.2024.09.002
MIXed plastics biodegradation and UPcycling using microbial communities,https://cordis.europa.eu/project/id/870294,The molecular basis and enzyme engineering strategies for improvement of coupling efficiency in cytochrome P450s,,,,https://doi.org/10.1016/j.biotechadv.2022.108051
MIXed plastics biodegradation and UPcycling using microbial communities,https://cordis.europa.eu/project/id/870294,Uncoupling Foam Fractionation and Foam Adsorption for Enhanced Biosurfactant Synthesis and Recovery.,,,,https://doi.org/10.18154/rwth-2021-00396
MIXed plastics biodegradation and UPcycling using microbial communities,https://cordis.europa.eu/project/id/870294,Proposal for a systematic naming convention for liamocins,,,,https://doi.org/10.1002/jsde.12735
MIXed plastics biodegradation and UPcycling using microbial communities,https://cordis.europa.eu/project/id/870294,For the sake of the Bioeconomy: define what a Synthetic Biology Chassis is!,,,,https://doi.org/10.1016/j.nbt.2020.08.004
MIXed plastics biodegradation and UPcycling using microbial communities,https://cordis.europa.eu/project/id/870294,A model-driven approach to upcycling recalcitrant feedstocks in Pseudomonas putida by decoupling PHA production from nutrient limitation,,,,https://doi.org/10.1016/j.celrep.2024.113979
MIXed plastics biodegradation and UPcycling using microbial communities,https://cordis.europa.eu/project/id/870294,Computational design of an efficient and thermostable esterase for polylactic acid depolymerization,,,,https://doi.org/10.1039/d3gc04888h
MIXed plastics biodegradation and UPcycling using microbial communities,https://cordis.europa.eu/project/id/870294,Synthetic Control of Metabolic States in Pseudomonas putida by Tuning Polyhydroxyalkanoate Cycle,,,,https://doi.org/10.1128/mbio.01794-21
